,0
0,لا للتطعيم الاجباري
1,الحرية الطبية
2,لا للتطعيم الاجباري
3,مسار الحرية
4,الحرية الطبية تنتصر
5,لا للتطعيم الاجباري
6,لن امتثل
7,غير المطعمين
8,لا للتطعيم الاجباري
9,صلاح الراشد
10,التطعيم الاجباري
11,لا للتطعيم الاجباري
12,نرفض اللقاح الإجباري
13,معلمون ضد الاجبار
14,نرفض اللقاح الاجباري
15,لا لربط السفر بالتطعيم
16,لا للتطعيم الاجباري
17,لا للتطعيم الاجباري
18,اعتصام المعلمين
19,لا للتطعيم الاجباري
20,لا للتطعيم الاجباري١
21,أطفالنا خط أحمر
22,عالمنا الحر يتجلى
23,صناعة مسار الحرية
24,نرفض المسحه الاسبوعيه
25,لا للتطعيم الاجباري
26,اللقاح التجريبي
27,غياب جماعي
28,جلسة ثلاثاء الحرية
29,بلغ عن اضرار اللقاح
30,لا للتطعيم الاجباري
31,متضرري اللقاح
32,لا للتطعيم الاجباري
33,لا للتطعيم الاجباري
34,لا للتطعيم الاجباري
35,لا للتطعيم الاجباري
36,لا للتطعيم الاجباري
37,لا للتطعيم الاجباري
38,ساحه الاراده
39,لا للمسحة الاسبوعية
40,لا للتطعيم الاجباري
41,لا للتلقيح الاجباري
42,ساحة الحرية
43,لا للتطعيم الاجباري
44,لا للتطعيم
45,لا للتطعيم الاجباري
46,لا للتطعيم الاجباري
47,لا للتطعيم الإجباري
48,لن نمتثل
49,لن أمتثل
50,الحرية
51,لا للتطعيم الاجباري
52,لا للتطعيم الاجباري
53,لا للتطعيم الاجباري
54,لا للتطعيم الاجباري
55,لا للتطعيم الاجباري
56,لا للتطعيم الاجباري٣٦
57,لا للتطعيم الاجباري
58,معا لدعم الحريات
59,ارفضوا التلقيح
60,لا للتطعيم الاجباري
61,لا للتطعيم الاجباري
62,الغير مطعمين
63,من حقي ارفض
64,نظرية الخنزير
65,لا للتطعيم الاجباري
66,لا للتطعيم الاجباري
67,لا للتطعيم الاجباري٢٨
68,الحريه الطبيه
69,المنتصر مستمر
70,لا للتطعيم الاجباري
71,الحرية الصحية
72,لا للتطعيم الاجباري
73,لا للتطعيم الاجباري٤٥
74,تطعيم الاطفال
75,حملة ضد التطعيمات
76,أبطال ساحة الارادة
77,لا للتطعيم الاجباري
78,بالحريات مانتغشمر
79,لا للتطعيم الاجباري
80,لا للتطعيم الاجباري
81,لا للتطعيم الاجباري
82,لا للتطعيم الاجباري
83,لا للتطعيم الاجباري
84,لا للتطعيم الاجباري
85,الحرية جمعاء
86,لا للتطعيم الاجباري
87,لا للتطعيم الاجباري
88,لا لتطعيم الاطفال
89,لا للتطعيم الاجباري
90,لا للتطعيم الاجباري
91,لا للتطعيم الاجباري
92,نرفض المسحة الأسبوعية
93,لا للتطعيم الاجباري
94,لا للتطعيم الاجباري
95,لا للتطعيم الاجباري١٠٧
96,لا للتطعيم الاجباري
97,لا للتطعيم الاجباري
98,غير المحصنين
99,لا للتطعيم الاجباري
100,لا للتطعيم الاجباري
101,لا للتطعيم الاجباري
102,لا للتطعيم الاجباري
103,لا للتطعيم الاجباري٥
104,نرفض التلقيح الاجباري
105,نرفض ربط اللقاح بالسفر
106,لا للتطعيم الاجباري
107,لا للتطعيم الاجباري
108,لا للتطعيم الاجباري
109,لا للتطعيم الاجباري
110,لا للتطعيم الاجباري
111,لا للتطعيم الاجباري
112,لا للتطعيم الاجباري
113,لا للتطعيم الاجباري
114,لا للتطعيم الاجباري
115,لا للتطعيم الاجباري
116,لا للتطعيم الاجباري
117,لا للتطعيم الاجباري اللهـــم
118,لن اطعم
119,مابي اتطعم
120,لن ولن ولا
121,لا للتطعيم الاجباري٣١
122,لا للتطعيم الاجباري
123,لا للتطعيم الاجباري
124,لا للتطعيم الاجباري١٨
125,لا للتطعيم الاجباري
126,لا للتطعيم الاجباري
127,تطعيم الزومبي
128,ارفض التطعيم الاجباري
129,المومطعمين
130,حرية طبية
131,شكرا صلاح الراشد
132,أحفادي خط أحمر
133,صلاح الراشد يمثلني
134,لن تجبروني
135,حرية الاختيار
136,انتهاك حرية
137,بالتطعيم اندقرنا
138,المستمر منتصر
139,طز باللقاح
140,ضد التطعيم الاجباري
141,ارفضوا التلقيح
142,لا للتطعيم الاجباري
